sample_id,task_id,condition_name,variant_index,pc1,pc2,pc3
arithmetic_reasoning__care__variant_0,arithmetic_reasoning,care,0,10.582285331024503,-2.933651707793675,-4.952737816618784
arithmetic_reasoning__care__variant_1,arithmetic_reasoning,care,1,12.987463719239427,-2.81127269852373,-4.695797615574116
arithmetic_reasoning__care__variant_2,arithmetic_reasoning,care,2,15.365060810102921,-2.230644511068154,-4.217417892910828
arithmetic_reasoning__narrative_threat_control__variant_0,arithmetic_reasoning,narrative_threat_control,0,8.055670653422377,0.8663526314359932,-2.7798398894773313
arithmetic_reasoning__narrative_threat_control__variant_1,arithmetic_reasoning,narrative_threat_control,1,9.355977517323694,-0.47864911160822265,-0.3724334261313073
arithmetic_reasoning__narrative_threat_control__variant_2,arithmetic_reasoning,narrative_threat_control,2,6.667285791679995,1.5797012623451405,-6.735126303213487
arithmetic_reasoning__neutral__variant_0,arithmetic_reasoning,neutral,0,10.820268671855747,-3.276341356181386,-1.7707165718451707
arithmetic_reasoning__neutral__variant_1,arithmetic_reasoning,neutral,1,18.88244175933406,-4.606682949945632,-4.646711266200524
arithmetic_reasoning__neutral__variant_2,arithmetic_reasoning,neutral,2,12.521006756484958,-4.460554326435982,-4.6279892976869395
arithmetic_reasoning__threat__variant_0,arithmetic_reasoning,threat,0,12.01798852229972,-1.5372197540580377,-4.816009814135018
arithmetic_reasoning__threat__variant_1,arithmetic_reasoning,threat,1,11.857174181558166,-0.7727304816522482,-3.71013268144424
arithmetic_reasoning__threat__variant_2,arithmetic_reasoning,threat,2,14.1270999164016,-2.738571543595211,-5.671081540793637
classify_sentiment__care__variant_0,classify_sentiment,care,0,-9.828271259985184,10.283806925027699,-3.1864656334159744
classify_sentiment__care__variant_1,classify_sentiment,care,1,-8.921284954129428,10.482257420354749,-3.164965203736751
classify_sentiment__care__variant_2,classify_sentiment,care,2,-9.111281210128155,10.332378023188857,-2.0398144204803192
classify_sentiment__narrative_threat_control__variant_0,classify_sentiment,narrative_threat_control,0,-8.992958080471203,10.689853300857905,-2.0112866693615303
classify_sentiment__narrative_threat_control__variant_1,classify_sentiment,narrative_threat_control,1,-9.320265120225478,12.098844832417594,-0.17535907721306293
classify_sentiment__narrative_threat_control__variant_2,classify_sentiment,narrative_threat_control,2,-8.88012073837053,11.464275893438593,-2.9440821256143432
classify_sentiment__neutral__variant_0,classify_sentiment,neutral,0,-10.214798970994194,9.534774755914247,-0.9154046497282983
classify_sentiment__neutral__variant_1,classify_sentiment,neutral,1,-8.357365189479957,8.810264844643036,-2.796849551881918
classify_sentiment__neutral__variant_2,classify_sentiment,neutral,2,-9.224738797705026,7.70171380197685,-2.241296116304519
classify_sentiment__threat__variant_0,classify_sentiment,threat,0,-9.516137457535024,11.526994246575162,-1.8648550393806567
classify_sentiment__threat__variant_1,classify_sentiment,threat,1,-9.494174745586392,11.414675609925927,-1.7833114167232629
classify_sentiment__threat__variant_2,classify_sentiment,threat,2,-9.856675611109866,11.708018804031186,-2.4617790686099816
compare_approaches__care__variant_0,compare_approaches,care,0,-7.448186176553737,-8.322776021825263,8.27324959452472
compare_approaches__care__variant_1,compare_approaches,care,1,-6.338581481705818,-8.643280884215601,8.423156788940245
compare_approaches__care__variant_2,compare_approaches,care,2,-6.814850749903296,-7.4743289782379705,8.323222947288725
compare_approaches__narrative_threat_control__variant_0,compare_approaches,narrative_threat_control,0,-6.5343094958784915,-6.263192248456281,12.614195671612936
compare_approaches__narrative_threat_control__variant_1,compare_approaches,narrative_threat_control,1,-6.239955323884725,-6.524031244681865,14.250734446889835
compare_approaches__narrative_threat_control__variant_2,compare_approaches,narrative_threat_control,2,-6.797846595918655,-5.217412939401013,6.752960440749346
compare_approaches__neutral__variant_0,compare_approaches,neutral,0,-7.67095592854159,-10.13926074989625,11.868621594458846
compare_approaches__neutral__variant_1,compare_approaches,neutral,1,-6.416916906903555,-11.07328997058004,8.643785068720767
compare_approaches__neutral__variant_2,compare_approaches,neutral,2,-7.115990178353269,-11.045047606895471,9.207766832828009
compare_approaches__threat__variant_0,compare_approaches,threat,0,-6.84276421834459,-6.961619426782688,10.086629073563225
compare_approaches__threat__variant_1,compare_approaches,threat,1,-7.298577281183691,-6.2306824047601665,10.181132376468558
compare_approaches__threat__variant_2,compare_approaches,threat,2,-5.99588227526806,-7.1009235459123765,9.463040036884744
estimate_quantity__care__variant_0,estimate_quantity,care,0,13.623914782851603,-2.526859303626395,8.809737534522924
estimate_quantity__care__variant_1,estimate_quantity,care,1,14.944910135161614,-2.7533851301170933,9.299554053932175
estimate_quantity__care__variant_2,estimate_quantity,care,2,17.12179114727752,-2.0436530107021524,8.599454495506313
estimate_quantity__narrative_threat_control__variant_0,estimate_quantity,narrative_threat_control,0,15.745142651840487,-0.0681144025515616,10.556347673015262
estimate_quantity__narrative_threat_control__variant_1,estimate_quantity,narrative_threat_control,1,17.549538128547454,-1.2517317429755095,12.219638599656914
estimate_quantity__narrative_threat_control__variant_2,estimate_quantity,narrative_threat_control,2,12.824706448544715,0.9007768280493026,7.099878269836231
estimate_quantity__neutral__variant_0,estimate_quantity,neutral,0,15.888282985430614,-2.9951753581790683,10.828387262580554
estimate_quantity__neutral__variant_1,estimate_quantity,neutral,1,19.684052889429648,-5.294776720752486,7.645874565001314
estimate_quantity__neutral__variant_2,estimate_quantity,neutral,2,17.662366170719448,-4.835162185003821,8.497799895599192
estimate_quantity__threat__variant_0,estimate_quantity,threat,0,16.878862588684843,-1.791123321983955,9.18191630295022
estimate_quantity__threat__variant_1,estimate_quantity,threat,1,17.835975834174963,-1.1647346716167164,9.612523001869814
estimate_quantity__threat__variant_2,estimate_quantity,threat,2,17.761684810648806,-2.1028535816694847,8.408072795223337
extract_facts__care__variant_0,extract_facts,care,0,-9.89984850296174,3.5104115024048426,2.262650297192266
extract_facts__care__variant_1,extract_facts,care,1,-9.300016054200274,3.265015768955033,2.2849945753250323
extract_facts__care__variant_2,extract_facts,care,2,-9.116965663926486,2.992163569349563,2.840246977000945
extract_facts__narrative_threat_control__variant_0,extract_facts,narrative_threat_control,0,-10.298528860656964,3.7466425724753734,4.2392548518010695
extract_facts__narrative_threat_control__variant_1,extract_facts,narrative_threat_control,1,-9.56136950002866,4.488583391960824,5.388098412476293
extract_facts__narrative_threat_control__variant_2,extract_facts,narrative_threat_control,2,-9.599428979123344,5.358990259157367,1.4271829234921543
extract_facts__neutral__variant_0,extract_facts,neutral,0,-10.02264110023675,1.108352833637401,5.203523805287774
extract_facts__neutral__variant_1,extract_facts,neutral,1,-8.688029487577083,-0.030941905365708927,2.6909262506662115
extract_facts__neutral__variant_2,extract_facts,neutral,2,-9.734145138091503,-0.8130792054410378,2.870313029815783
extract_facts__threat__variant_0,extract_facts,threat,0,-9.059227173083155,4.278725001815207,3.607415975204962
extract_facts__threat__variant_1,extract_facts,threat,1,-9.438465586762193,4.139821522310888,3.8538813437365453
extract_facts__threat__variant_2,extract_facts,threat,2,-8.839604749117047,3.774151910750173,2.647023522035591
identify_fallacy__care__variant_0,identify_fallacy,care,0,-9.021752909802013,9.2685873079811,-0.9244418781412489
identify_fallacy__care__variant_1,identify_fallacy,care,1,-8.61172200582344,8.931501491222276,-1.184496707998796
identify_fallacy__care__variant_2,identify_fallacy,care,2,-8.295143629144453,8.806886374772779,-0.2794222651719381
identify_fallacy__narrative_threat_control__variant_0,identify_fallacy,narrative_threat_control,0,-8.840043667021327,10.048681022019688,0.7098285373488462
identify_fallacy__narrative_threat_control__variant_1,identify_fallacy,narrative_threat_control,1,-8.988216160540096,11.348206567636872,1.6380457930886714
identify_fallacy__narrative_threat_control__variant_2,identify_fallacy,narrative_threat_control,2,-8.408974842561145,11.480326452924343,-2.098556582185978
identify_fallacy__neutral__variant_0,identify_fallacy,neutral,0,-9.69884960379206,8.265404175002493,2.166559249981265
identify_fallacy__neutral__variant_1,identify_fallacy,neutral,1,-7.588542331715789,7.052574567554157,-1.2124272436124306
identify_fallacy__neutral__variant_2,identify_fallacy,neutral,2,-8.29373220138081,6.216133044458756,-0.7009192695583171
identify_fallacy__threat__variant_0,identify_fallacy,threat,0,-9.276936430686867,10.868996188921889,-0.010072659123892975
identify_fallacy__threat__variant_1,identify_fallacy,threat,1,-9.17394994691161,11.110067631262813,0.11691130795471122
identify_fallacy__threat__variant_2,identify_fallacy,threat,2,-9.168552008248763,10.358385360947697,-0.8349591973413496
logical_deduction__care__variant_0,logical_deduction,care,0,15.486115210864895,3.629207003562233,-8.262736041736261
logical_deduction__care__variant_1,logical_deduction,care,1,16.074701943865797,3.1742834261017308,-8.22838718731084
logical_deduction__care__variant_2,logical_deduction,care,2,17.577433790902674,3.4045742780773947,-7.981713695108382
logical_deduction__narrative_threat_control__variant_0,logical_deduction,narrative_threat_control,0,14.688822135160983,5.980732851872536,-6.280717913802598
