layer,n_samples,n_features,conditions,accuracy,f1_macro,auroc_macro_ovr,permutation_accuracy_mean,permutation_accuracy_std,permutation_f1_macro_mean,permutation_f1_macro_std,permutation_auroc_macro_ovr_mean,permutation_auroc_macro_ovr_std
0,18,64,"['threat', 'care', 'neutral']",1.0,1.0,1.0,0.3222222222222222,0.05443310539518173,0.2267821067821068,0.06446225817129664,0.48611111111111105,0.05306936992928554
1,18,64,"['threat', 'care', 'neutral']",0.3333333333333333,0.26666666666666666,0.8194444444444445,0.3388888888888889,0.046147910349544866,0.24097308488612837,0.06686563970411229,0.5185185185185185,0.06869971037610939
2,18,64,"['threat', 'care', 'neutral']",0.3333333333333333,0.26666666666666666,0.75,0.3388888888888889,0.02991758226185836,0.2480323299888517,0.06162201710609246,0.49490740740740735,0.06908704326662926
3,18,64,"['threat', 'care', 'neutral']",0.3888888888888889,0.37142857142857144,0.8194444444444445,0.3277777777777778,0.06781419786518723,0.25623806992228043,0.08045809162723762,0.5037037037037038,0.0728721939627815
4,18,64,"['threat', 'care', 'neutral']",0.6111111111111112,0.5888888888888889,0.7407407407407408,0.2944444444444444,0.04339027597725918,0.2110588267941209,0.03877428400311972,0.43888888888888883,0.06634438562101058
5,18,64,"['threat', 'care', 'neutral']",0.5,0.41269841269841273,0.8333333333333334,0.3166666666666667,0.06596856715021066,0.24492648510012893,0.06468116651191747,0.46342592592592596,0.07046928963664245
6,18,64,"['threat', 'care', 'neutral']",0.3333333333333333,0.16666666666666666,0.7962962962962963,0.34444444444444444,0.08164965809277262,0.28006019272003924,0.11348966096576382,0.5277777777777778,0.08114408259335792
7,18,64,"['threat', 'care', 'neutral']",0.5,0.3923444976076555,0.8611111111111112,0.35555555555555557,0.06666666666666667,0.27903906006847184,0.07639561984099158,0.5027777777777778,0.08806524268092339
